circ,circ_hash,circ_key,ori_latency,merged_latency,grape_res,1q_count,2q_count
"          
q_0: ──■──
     ┌─┴─┐
q_1: ┤ X ├
     └───┘",ed5c9ae7ce007684fa7450bc52dd233cebbe31cdbe0acc0df8f7d4b1cb082294,"[[1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0.]]",13.5,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239AE433B88>,0,1
"     ┌───┐
q_0: ┤ H ├
     └───┘",f30c4b9600a1aeb68220abdbb57a0c675d03e2ec060cb1019309b43ed8fd7b24,"[[ 0.71  0.71  0.    0.  ]
 [ 0.71 -0.71  0.    0.  ]]",6.0,6.0,<quantum_optimal_control.core.run_session.run_session object at 0x00000239B7693788>,1,0
"     ┌───┐
q_0: ┤ T ├
     └───┘",fcb41cc47e0f8d7ccc1aa85cb1035e7ec2b683e6f54b084bb8a5d8eef110dec3,"[[1.   0.   0.   0.  ]
 [0.   0.71 0.   0.71]]",1.0,1.0,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BA8653C8>,1,0
"          ┌───┐┌───┐
q_0: ──■──┤ H ├┤ T ├
     ┌─┴─┐├───┤└───┘
q_1: ┤ X ├┤ T ├─────
     └───┘└───┘     ",b3d5b1423dae58ca9191a23d216a2716b753080fc4eea88932bfccb4e2319658,"[[ 0.71  0.    0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.    0.   -0.5   0.5   0.    0.   -0.5 ]
 [ 0.    0.5   0.5   0.    0.    0.5   0.5   0.  ]
 [ 0.    0.    0.    0.    0.   -0.71  0.71  0.  ]]",20.5,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239B9704348>,2,1
"          ┌───┐┌───┐
q_0: ──■──┤ X ├┤ T ├
     ┌─┴─┐└─┬─┘├───┤
q_1: ┤ X ├──■──┤ T ├
     └───┘     └───┘",0eb12e6b3ed8f0c64838a0ea11f0602a27e7dfff2018fa05ed88fcdcc2a2f018,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.   0.   0.   0.   0.   0.   1.   0.  ]]",28.0,15.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239B9D8A988>,1,2
"     ┌───┐┌───┐
q_0: ┤ T ├┤ X ├
     └───┘└─┬─┘
q_1: ───────■──
               ",2bae9b782524efdad2430e2795837948c2d3bcba0c0fc7049a8eeb15b77ee07f,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.   1.   0.   0.   0.   0.   0.  ]]",14.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BEDB3B08>,1,1
"     ┌─────┐
q_0: ┤ TDG ├
     └─────┘",10e5aa5d296d5835ebc3f074000886f8e287cc54e5b514a557382e168cb0c4d0,"[[ 1.    0.    0.    0.  ]
 [ 0.    0.71  0.   -0.71]]",1.5,1.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239ADE492C8>,1,0
"                 
q_0: ──■─────────
     ┌─┴─┐┌─────┐
q_1: ┤ X ├┤ TDG ├
     └───┘└─────┘",f255018f5f8ee37b89a3bb62bd657715354dc240ec9905dc94344f8867ec1edc,"[[ 1.    0.    0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.    0.    1.    0.    0.    0.    0.  ]
 [ 0.    0.    0.71  0.    0.    0.   -0.71  0.  ]
 [ 0.    0.71  0.    0.    0.   -0.71  0.    0.  ]]",15.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BEC64CC8>,1,1
"               
q_0: ──■───────
     ┌─┴─┐┌───┐
q_1: ┤ X ├┤ T ├
     └───┘└───┘",1dd5ad5ea9279abcb930359872a50853cc96e3074855dfabb898e39d19438300,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   1.   0.   0.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]]",14.5,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BA72E1C8>,1,1
"          ┌─────┐
q_0: ──■──┤ TDG ├
     ┌─┴─┐├─────┤
q_1: ┤ X ├┤ TDG ├
     └───┘└─────┘",87575a77b4400534ff21b336a6c804ba290771936882e52316209cb30a1345e7,"[[ 1.    0.    0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.71  0.    0.    0.   -0.71]
 [ 0.    0.    0.71  0.    0.    0.   -0.71  0.  ]
 [ 0.    0.    0.    0.    0.   -1.    0.    0.  ]]",15.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C28AFA48>,1,1
"                    
q_0: ──■────────────
     ┌─┴─┐┌───┐┌───┐
q_1: ┤ X ├┤ H ├┤ T ├
     └───┘└───┘└───┘",161aa6e6f2a7a44a6317eb08267a5063178ccbce7bfbf843e7bc2693a20c7e66,"[[ 0.71  0.    0.71  0.    0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.   -0.5   0.    0.5   0.   -0.5   0.  ]
 [ 0.   -0.5   0.    0.5   0.   -0.5   0.    0.5 ]]",20.5,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C3581A48>,2,1
"          ┌───┐     
q_0: ──■──┤ T ├──■──
     ┌─┴─┐├───┤┌─┴─┐
q_1: ┤ X ├┤ T ├┤ X ├
     └───┘└───┘└───┘",8adb89144ec18963456eba8cca73ed7357567077cf7566d7e4e545fc0402b466,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   0.   1.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]]",28.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BFBAE288>,1,2
"               
q_0: ──■───────
     ┌─┴─┐┌───┐
q_1: ┤ X ├┤ H ├
     └───┘└───┘",33652a31b82ad8499ce0addf2d684931c447e33f3974593212d7a5858d4d0702,"[[ 0.71  0.    0.71  0.    0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.71  0.   -0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.71  0.    0.71  0.    0.    0.    0.  ]]",19.5,14.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BE841CC8>,1,1
"          ┌───┐┌───┐
q_0: ──■──┤ H ├┤ T ├
     ┌─┴─┐└───┘└───┘
q_1: ┤ X ├──────────
     └───┘          ",bac7ce154054da31f647f3d5a851794fa3e92e8bb6f7cc77168cb094cde2fd13,"[[ 0.71  0.    0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.    0.   -0.5   0.5   0.    0.   -0.5 ]
 [ 0.    0.71  0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.5   0.5   0.    0.   -0.5   0.5   0.  ]]",20.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C24B0148>,2,1
"     ┌───┐     
q_0: ┤ T ├──■──
     ├───┤┌─┴─┐
q_1: ┤ T ├┤ X ├
     └───┘└───┘",7f0cd0013020a8891af1a07143e5c22c5b15055f45e30f12b63d0f2430b79542,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   1.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]]",14.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C27E14C8>,1,1
"     ┌───┐┌───┐
q_0: ┤ T ├┤ X ├
     ├───┤└─┬─┘
q_1: ┤ T ├──■──
     └───┘     ",e3abb0c7affa8dbaf7123c1b0409dd182cb3091061a50700067ae5fb003fab23,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   1.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]]",14.5,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C8778108>,1,1
"     ┌───┐┌───┐            
q_0: ┤ H ├┤ T ├──■─────────
     └───┘└───┘┌─┴─┐┌─────┐
q_1: ──────────┤ X ├┤ TDG ├
               └───┘└─────┘",6de974bc80983b380cc468dd13fed7b4cce5b6f6341f97730c85290b7e3438a9,"[[ 0.71  0.71  0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.    0.5  -0.5   0.    0.    0.5  -0.5 ]
 [ 0.    0.    0.5   0.5   0.    0.   -0.5  -0.5 ]
 [ 0.71 -0.71  0.    0.    0.    0.    0.    0.  ]]",22.0,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CBA82B88>,3,1
"          ┌───┐
q_0: ──■──┤ T ├
     ┌─┴─┐└───┘
q_1: ┤ X ├─────
     └───┘     ",8ee8595fc41aff02ad4200501ff3d886e4375640d1e69d16112333d75bce7a64,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.   1.   0.   0.   0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]]",14.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CB633C08>,1,1
"          ┌───┐
q_0: ──■──┤ T ├
     ┌─┴─┐├───┤
q_1: ┤ X ├┤ T ├
     └───┘└───┘",2cce568a3bb56ac4891e021ac4d9e317b6ec0e50239966318f61680588700d88,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.   0.   0.   0.   1.   0.   0.  ]]",14.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C2AA1708>,1,1
"     ┌───┐
q_0: ┤ X ├
     └───┘",2f04f518b7ae2a8093d10d4b4cc28feb8ee8a1229176ca937f00f904765f4b9a,"[[0. 1. 0. 0.]
 [1. 0. 0. 0.]]",6.5,6.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CD194308>,1,0
"          ┌───┐┌───┐
q_0: ──■──┤ H ├┤ T ├
     ┌─┴─┐├───┤├───┤
q_1: ┤ X ├┤ X ├┤ T ├
     └───┘└───┘└───┘",73b303f01f26e435f33e10ac0d4cca64316ed52128186a86f3ba2dc75095d97e,"[[ 0.    0.71  0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.5   0.5   0.    0.   -0.5   0.5   0.  ]
 [ 0.5   0.    0.    0.5   0.5   0.    0.    0.5 ]
 [ 0.    0.    0.    0.    0.71  0.    0.   -0.71]]",21.0,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239D1B237C8>,2,1
