circ_key,circ_qasm,N,dt,initial_guess,fidelity,latency,compile_time,circ_key_hash
"[[ 0.71  0.71  0.    0.    0.    0.    0.    0.  ]
 [ 0.71 -0.71  0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.    0.71 -0.71  0.    0.    0.    0.  ]
 [ 0.    0.    0.71  0.71  0.    0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate h_cx q0,q1 { h q0; cx q1,q0; }
qreg q[2];
h_cx q[0],q[1];
",2,0.5,[],0.000999808,13.5,47.06983185,d01d86810a9500a01202bb9785fea56e52179837667b97ea56a8296f595ec216
"[[ 0.71  0.    0.    0.71]
 [ 0.71  0.    0.   -0.71]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate s_h q0 { s q0; h q0; }
qreg q[1];
s_h q[0];
",1,0.5,[],0.000902534,4.5,13.85477328,df158e3b6d1332ce5afcb832e9ec162da600554782486554fe4f29452d9c1a7c
"[[ 0.71  0.    0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.71  0.   -0.71  0.    0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate h_cx q0,q1 { h q0; cx q1,q0; }
gate cx_h_cx q0,q1 { cx q0,q1; h_cx q1,q0; }
qreg q[2];
cx_h_cx q[0],q[1];
",2,0.5,[],0.000995994,11.5,37.2538116,a62348429ea0af3e7ee54629ffa0f17e7c35a783855f84a84fcf0f1a053d5d86
"[[ 0.71  0.    0.71  0.    0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.71  0.   -0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.71  0.    0.71  0.    0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate h_cx q0,q1 { h q0; cx q1,q0; }
gate cx_h_cx q0,q1 { cx q0,q1; h_cx q1,q0; }
gate cx_h_cx_cx q0,q1 { cx_h_cx q0,q1; cx q0,q1; }
qreg q[2];
cx_h_cx_cx q[0],q[1];
",2,0.5,[],0.000986576,13.5,46.40192032,33652a31b82ad8499ce0addf2d684931c447e33f3974593212d7a5858d4d0702
"[[0.   0.71 0.   0.71]
 [1.   0.   0.   0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate t_x q0 { t q0; x q0; }
qreg q[1];
t_x q[0];
",1,0.5,[],0.000868797,7,19.40185475,4c2a7f4b539432aa61804e81c164d77ad3fc5a3d360c3dc862e82cd2592b29fd
"[[ 0.71 -0.71  0.    0.  ]
 [ 0.71  0.71  0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate h_x q0 { h q0; x q0; }
qreg q[1];
h_x q[0];
",1,0.5,[],0.000996709,5,16.95750809,794bb27d06e16b0aa8c23c8984d1746ee747d1fd8d0fc103295fc229c0147125
"[[ 0.    0.    0.71  0.71  0.    0.    0.    0.  ]
 [ 0.    0.    0.71 -0.71  0.    0.    0.    0.  ]
 [ 0.71 -0.71  0.    0.    0.    0.    0.    0.  ]
 [ 0.71  0.71  0.    0.    0.    0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate h_x_cx q0,q1 { h q0; x q1; cx q1,q0; }
qreg q[2];
h_x_cx q[0],q[1];
",2,0.5,[],0.00099951,14,46.62791324,d26b39c39ab70511ac90769151040159acbab7d313a50ee437dfe17c9f79bf7f
"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   1.   0.   0.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate t_tdg q0 { t q0; tdg q0; }
gate t_tdg_cx_t q0,q1 { t_tdg q0; cx q0,q1; t q1; }
qreg q[2];
t_tdg_cx_t q[0],q[1];
",2,0.5,[],0.000991702,12.5,49.82080007,1dd5ad5ea9279abcb930359872a50853cc96e3074855dfabb898e39d19438300
"[[ 0.    0.    0.71  0.71  0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.5  -0.5   0.    0.    0.    0.    0.    0.    0.5  -0.5
   0.    0.    0.    0.  ]
 [ 0.71 -0.71  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.5   0.5   0.    0.    0.    0.    0.    0.    0.5   0.5   0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.    0.71 -0.71  0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.    0.5   0.5   0.    0.    0.    0.
   0.    0.    0.5   0.5 ]
 [ 0.    0.    0.    0.    0.71  0.71  0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.5  -0.5   0.    0.    0.    0.    0.    0.
   0.5  -0.5   0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate t_tdg q0 { t q0; tdg q0; }
gate t_tdg_cx_t q0,q1 { t_tdg q0; cx q0,q1; t q1; }
gate h_x_cx q0,q1 { h q0; x q1; cx q1,q0; }
gate h_x_cx_t_tdg_cx_t q0,q1,q2 { h_x_cx q0,q1; t_tdg_cx_t q2,q0; }
qreg q[3];
h_x_cx_t_tdg_cx_t q[0],q[1],q[2];
",3,0.5,[],0.000985503,23.5,95.31373644,fa2a7424b9154f17dad239893af95a7e5e8ea2b4a420adf4d9ca2307794f32b2
"[[1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.   0.
  0.71 0.  ]
 [0.   0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.   0.   0.71
  0.   0.  ]
 [0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.   0.   0.71 0.
  0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.
  0.   0.71]
 [0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.
  0.   0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate t_tdg q0 { t q0; tdg q0; }
gate t_tdg_cx_t q0,q1 { t_tdg q0; cx q0,q1; t q1; }
gate cx_t q0,q1 { cx q0,q1; t q1; }
qreg q[3];
t_tdg_cx_t q[0],q[1];
cx_t q[1],q[2];
",3,0.5,[],0.000988424,16.5,152.8619058,ffab43b64b5f32ed7ebf3f052c80d6aa6c279ace662684dfc6a36fba8bc9e247
"[[ 1.    0.    0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.    0.   -0.71  0.    0.  ]
 [ 0.    0.    0.    0.71  0.    0.    0.   -0.71]
 [ 0.    0.    1.    0.    0.    0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate tdg_cx q0,q1 { tdg q0; cx q1,q0; }
qreg q[2];
tdg_cx q[0],q[1];
",2,0.5,[],0.000992894,13,40.82002401,49049c1e44a36556a8f1bc19d04272a90cf2eb3d54e861d64f2c9fd3c492cfda
"[[ 0.71  0.71  0.    0.  ]
 [ 0.5  -0.5   0.5  -0.5 ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate h_t q0 { h q0; t q0; }
qreg q[1];
h_t q[0];
",1,0.5,[],0.000999451,4.5,18.28845239,5f1881a55d7d765bd3d98134a5b73e5a5e66b05a6a2f7f3217eac3e947fdbf8d
"[[0.   1.   0.   0.  ]
 [0.71 0.   0.71 0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate x_t q0 { x q0; t q0; }
qreg q[1];
x_t q[0];
",1,0.5,[],0.000998974,6.5,17.40370464,49b2ab1b7ba564d7a625d50714ae496a5329a11f41e743a63b88b184d2654dec
"[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate cx_cx q0,q1,q2 { cx q0,q1; cx q2,q0; }
qreg q[3];
cx_cx q[0],q[1],q[2];
",3,0.5,[],0.000989199,16,159.8683333,21f35cdc1852fac16a42292244cfb53ee930d9b9b0e4afc7de9fd225db02b77e
"[[ 1.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.    0.    0.    0.    0.    0.   -0.71  0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.    0.    0.71  0.    0.    0.    0.
   0.    0.    0.   -0.71]
 [ 0.    0.    0.    0.    0.    0.    1.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    1.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.71  0.    0.    0.    0.    0.    0.
   0.   -0.71  0.    0.  ]
 [ 0.    0.    0.    0.71  0.    0.    0.    0.    0.    0.    0.   -0.71
   0.    0.    0.    0.  ]
 [ 0.    0.    1.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate tdg_cx q0,q1 { tdg q0; cx q1,q0; }
gate tdg_cx_cx q0,q1,q2 { tdg_cx q0,q1; cx q1,q2; }
qreg q[3];
tdg_cx_cx q[0],q[1],q[2];
",3,0.5,[],0.000998139,15,174.9396284,1d35688ff2b378bcadc82deeea9ab63623c09ed65566e1db287df756752cf213
"[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate cx_cx_cx q0,q1,q2 { cx q0,q1; cx q2,q0; cx q1,q2; }
qreg q[3];
cx_cx_cx q[0],q[1],q[2];
",3,0.5,[],0.000992596,22.5,139.7657332,5ee8214f8d0e4bccc8cc2dee117ef10fe60846d86a76a4b669cbfbebd70bc77b
"[[ 1.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    1.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.71  0.    0.    0.    0.    0.    0.    0.   -0.71  0.
   0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.    0.    0.    0.    0.    0.   -0.71  0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.71  0.    0.    0.    0.    0.    0.
   0.   -0.71  0.    0.  ]
 [ 0.    0.    0.    0.    0.    0.    0.71  0.    0.    0.    0.    0.
   0.    0.   -0.71  0.  ]
 [ 0.    0.    0.    0.    0.    0.    0.    1.    0.    0.    0.    0.
   0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.    1.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate tdg_cx q0,q1 { tdg q0; cx q1,q0; }
gate tdg_cx_cx q0,q1,q2 { tdg_cx q0,q1; cx q1,q2; }
gate cx_tdg_cx_cx q0,q1,q2 { cx q0,q1; tdg_cx_cx q1,q2,q0; }
qreg q[3];
cx_tdg_cx_cx q[0],q[1],q[2];
",3,0.5,[],0.000997663,21.5,144.825721,d1bae35d1c5319c9486b88cf8f1412d8e19d01b5485d907339e5cba9baa14228
"[[1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.
  0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.
  0.   0.71]
 [0.   0.   0.   0.   0.71 0.   0.   0.   0.   0.   0.   0.   0.71 0.
  0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.   0.   0.   0.   0.71 0.   0.   0.
  0.   0.  ]
 [0.   0.71 0.   0.   0.   0.   0.   0.   0.   0.71 0.   0.   0.   0.
  0.   0.  ]]","OPENQASM 2.0;
include ""qelib1.inc"";
gate cx_cx_cx q0,q1,q2 { cx q0,q1; cx q2,q0; cx q1,q2; }
gate cx_cx_cx_t q0,q1,q2 { cx_cx_cx q0,q1,q2; t q2; }
qreg q[3];
cx_cx_cx_t q[0],q[1],q[2];
",3,0.5,[],0.000991464,23.5,107.5287755,d516100760a686f01f44cb274446ccf1ed0021c5c20fc9871ea77145c519b53c
